IdVenta,codigo
270838,[661658]
270839,[723500]
270840,[138250]
270841,"[180854, 662088, 722435, 656582, 677381, 935353, 669051, 700811, 673156, 712833]"
270842,"[727233, 723798, 933416, 651012]"
270843,"[701357, 915884, 659590]"
270844,[38141]
270845,"[196038, 1]"
270846,"[946582, 664013, 946582, 660250, 758623, 951269, 702058]"
270847,[32167]
270848,[715425]
270849,"[719556, 651465, 699628, 714048, 719679]"
270850,"[199954, 189103]"
270852,[720631]
270853,[32167]
270854,"[655134, 983163]"
270855,"[688760, 869354]"
270856,"[840496, 697299, 689662, 721968, 656750, 729566, 664013, 702160, 654724, 657353]"
270857,[650887]
270858,[732186]
270859,"[659590, 755587, 844258]"
270860,[193709]
270861,"[655290, 483289]"
270862,[173861]
270863,[130007]
270864,"[999868, 658394]"
270865,"[730308, 681770, 768283]"
270866,"[659590, 999725, 819029]"
270867,[726796]
270868,[730308]
270869,[726569]
270870,[901082]
270871,[726080]
270872,"[700689, 728390]"
270873,"[729566, 761788]"
270874,[693739]
270875,"[173861, 173861]"
270876,"[182450, 965970, 700691, 75908]"
270877,[689966]
270878,[723845]
270879,"[672353, 755348]"
270880,[961763]
270881,"[699628, 699628]"
270882,"[702056, 170490]"
270883,"[915132, 680410, 688746]"
270884,"[866103, 754846]"
270885,[719053]
270886,[483271]
270887,[650887]
270888,"[654586, 650100]"
270889,[189690]
270890,"[977298, 699628, 699628]"
270891,"[809558, 659592, 2, 727945]"
270892,[732186]
270893,[673161]
270894,[873992]
270895,[698665]
270896,[887992]
270897,"[723798, 672661]"
270898,"[653297, 491126, 692309]"
270899,"[755348, 791996, 664012]"
270900,[659177]
270901,"[959460, 663987, 658491]"
270902,"[469460, 2]"
270903,"[702969, 809558, 497305, 672353, 655871, 659590, 724007, 663657, 715574, 2, 672353, 497305, 709176, 400063, 672353, 655871, 715587]"
270904,[651321]
270905,[724500]
270906,[688711]
270907,"[656574, 999847, 659590, 651460, 696932, 660838]"
270908,"[724007, 663312, 720011, 656706, 816462, 662379]"
270909,"[729566, 851402, 663941]"
270910,"[496067, 694840, 441261, 482182, 496067, 731862, 681769, 486910, 711146, 441261, 482182, 486910, 659591]"
270911,"[718486, 688231, 672602, 725076, 651460, 697784]"
270912,"[706462, 700812, 663682, 679442, 725647, 661749]"
270913,[724761]
270914,"[998625, 683649]"
270915,"[673029, 654724]"
270916,[166773]
270919,[672817]
270920,"[476283, 692309, 700579, 485029, 660711, 658491, 714048]"
270921,"[818971, 656706, 680984, 659175, 704958, 673156, 672170, 664797, 664013, 656615]"
270922,"[869735, 680410, 692482, 722479, 664012, 486316]"
270923,"[672101, 669664, 722195, 655891, 482653, 723347, 677207, 677207, 703175]"
270924,[658494]
270925,[688725]
270926,"[989137, 720631, 673029, 471615, 486324, 718486, 662082, 686894, 672661, 795831, 689957, 653302, 798462]"
270927,"[770370, 770370]"
270928,"[728974, 952036]"
270929,"[176298, 659590, 715574, 656578, 731852]"
270930,"[729566, 441428, 999793, 869735, 656254]"
270931,[714014]
270932,"[676510, 729566, 651460, 729566, 723311, 731047]"
270933,"[669051, 721605, 651649]"
270934,"[664013, 701285, 898254, 650099, 656532]"
270935,"[673029, 866103, 656255, 692309, 698435, 818997, 727390]"
